표준코드,본부,지사,시설명,소재지,착공년도,준공년도,종별,구분,유역면적,홍수면적,만수면적,수혜면적,한발빈도,홍수빈도,제체형식,제체체적,제체길이,제체높이,총저수량,유효저수량,사수량,취수형식,홍수위,만수위,사수위,연락처
2771010098,경북,달성,달창,대구광역시 달성군 유가읍 한정리,1963-11-07,1972-12-30,1,주수원,5630,138,130.88,540,10,200,필댐(죤형),408800,524,20.7,8649,8649,0,취수탑형,68.6,68.3,55,053-628-1123
2871010001,경기,강화.옹진,국화,인천광역시 강화군 강화읍 국화리,1976-07-10,1978-06-30,1,주수원,420,26.13,23.48,96.4,10,200,필댐(죤형),160720,245,16,1068,1058,10,사통형,50,49,40,032-930-2511
2871010007,경기,강화.옹진,길상2,인천광역시 강화군 길상면 장흥리,1952-04-20,1962-12-31,1,주수원,178.5,41.15,39.83,226.4,10,200,필댐(죤형),112267,1422,5,1400,1326,74,사통형,19.88,17.88,13.8,032-930-2511
2871010008,경기,강화.옹진,길상1,인천광역시 강화군 길상면 장흥리,1952-04-20,1962-12-31,2,보조수원,367,3.92,3.92,0,10,100,필댐(죤형),16830,264,5,54,54,0,사통형,20.7,19.7,16.67,032-930-2511
2871010010,경기,강화.옹진,하일,인천광역시 강화군 양도면 하일리,1971-03-15,1975-09-30,2,주수원,178.5,4.54,4.54,60,10,100,필댐(죤형),45895,940,4.5,121,113,8,사통형,20.6,19.6,17.4,032-930-2511
2871010011,경기,강화.옹진,인산,인천광역시 강화군 양도면 인산리,1976-06-24,1977-12-30,1,주수원,217,15,14.12,259.2,10,100,필댐(죤형),98400,221,13,587,576,11,사통형,30.5,29.5,22,032-930-2511
2871010012,경기,강화.옹진,길정,인천광역시 강화군 양도면 길정리,1982-11-16,1989-12-27,1,주수원,1511,62.29,56.71,724.1,10,200,필댐(죤형),703824,640,21.5,4607,4180,427,취수탑형,29.5,28.5,14,032-930-2511
2871010013,경기,강화.옹진,고려,인천광역시 강화군 내가면 오상리,1950-11-09,1957-12-31,1,주수원,1500,97.4,94.9,884.7,10,100,필댐(죤형),92548,454,9,4312,4183,129,취수탑형,14,12.8,7.3,032-930-2511
2871010014,경기,강화.옹진,신선,인천광역시 강화군 내가면 고천리,1950-06-14,1957-12-31,2,주수원,148.7,5.08,3.74,31.7,10,100,필댐(죤형),64145,225,10.2,131,131,0,사통형,48.7,47.5,39,032-930-2511
2871010015,경기,강화.옹진,황청,인천광역시 강화군 내가면 황청리,1990-11-20,1995-02-14,1,주수원,112,7.05,6.9,65.37,10,200,필댐(죤형),168176,297,15,389,332,57,사통형,23,22,13.5,032-930-2511
2871010019,경기,강화.옹진,대산,인천광역시 강화군 송해면 숭뢰리,1976-09-12,1980-12-10,1,주수원,1880,29,28.9,288.9,10,100,필댐(죤형),166320,1584,6,1272,1271,1,사통형,10,9,5.2,032-930-2511
2871010020,경기,강화.옹진,하도,인천광역시 강화군 송해면 하도리,1995-12-16,1999-12-20,1,주수원,135,13.59,11.77,78,10,200,필댐(죤형),156037,285,15,530,525,5,사통형,38,37,29,032-930-2511
2871010021,경기,강화.옹진,고구,인천광역시 강화군 교동면 고구리,1969-12-12,1978-06-30,1,주수원,2816,89.59,88.59,769,10,100,필댐(죤형),221423,828,7.46,2835,2648,187,사통형,12,11,7.3,032-930-2511
2871010022,경기,강화.옹진,삼산,인천광역시 강화군 삼산면 하리,1976-06-24,1979-09-30,1,주수원,87,56.91,51.17,403.8,10,100,필댐(죤형),203294,2066,6,1965,1810,155,사통형,10,9,5,032-930-2511
2871010023,경기,강화.옹진,상하,인천광역시 강화군 삼산면 하리,1985-06-20,1992-07-20,1,주수원,1608,39.2,34.2,341.4,10,200,필댐(죤형),332606,1042,11.2,2715,2367,348,사통형,16,14,4.5,032-930-2511
2871010024,경기,강화.옹진,하점,인천광역시 강화군 하점면 삼거리,1994-12-23,2004-12-20,1,주수원,160,9.85,9.5,462,10,200,필댐(죤형),1395188,257,43,1129,1009,120,취수탑형,85.6,84.6,58,032-930-2511
2871010025,경기,강화.옹진,난정,인천광역시 강화군 교동면 난정리,1992-12-24,2006-12-20,1,주수원,1884,121,119,889.38,10,200,필댐(죤형),490990,3270,7.7,6214.1,6214.1,0,사통형,13,12,6.5,032-930-2511
2871010026,경기,강화.옹진,양오,인천광역시 강화군 송해면 당산리,2001-12-05,2013-12-10,1,주수원,161,24.2,24,258.8,10,100,필댐(균일형),68040,201,28.5,1551,1466,85,취수탑형,26.5,25.7,15,032-930-2511
2914010001,전남,광주,운천,광주광역시 서구 치평동,1951-01-01,1951-12-30,2,주수원,100,6.2,5.6,61.6,10,200,필댐(죤형),3948,420,3.5,95,84.45,10.55,사통형,26,25.19,23.42,062-380-8685
2915510001,전남,광주,대골,광주광역시 남구 원산동,2002-11-05,2009-12-30,2,주수원,27,3.65,3.52,61,10,200,필댐(균일형),198680,197,21.5,240.3,239.3,1,사통형,48,47,28,062-380-8685
2917010001,전남,광주,칠석2,광주광역시 남구 칠석동,1941-01-01,1942-01-01,2,보조수원,80,1,1,5,10,200,필댐(죤형),1728,120,5.2,17,17,0,사통형,41.4,40.93,36.93,062-380-8685
2917010014,전남,담양,운정,광주광역시 북구 운정동,1956-01-01,1956-12-31,2,보조수원,20,1.1,0.98,10,10,200,필댐(죤형),1996.8,76.8,6.5,27.03,27.03,0,사통형,65.77,65.27,60.77,061-380-4114
2917010022,전남,광주,두촌,광주광역시 북구 수곡동,1967-01-01,1968-01-01,2,보조수원,16,0.2,0.2,4.6,10,200,필댐(죤형),1224,51,3.8,2.76,2.76,0,사통형,43.28,42.69,40.93,062-380-8685
2917010023,전남,광주,수곡,광주광역시 북구 수곡동,1967-01-01,1968-01-01,2,보조수원,50,0.36,0.36,33.4,10,200,필댐(죤형),777.4,46,10,8.97,8.97,0,사통형,70,69,65.38,062-380-8685
2917010024,전남,광주,학동,광주광역시 북구 효령동,1942-01-01,1943-01-01,2,보조수원,100,3.57,3.57,59.1,10,200,필댐(죤형),3432,132,11.9,144.4,143.87,0.53,사통형,57.44,56.2,47.56,062-380-8685
2917010025,전남,광주,효령,광주광역시 북구 효령동,1946-01-01,1947-01-01,2,보조수원,30,0.6,0.57,10.1,10,200,필댐(죤형),1776,111,6,11.14,11.14,0,사통형,58.66,57.66,53.66,062-380-8685
2917010026,전남,광주,생룡1,광주광역시 북구 생용동,1947-01-01,1948-01-01,2,보조수원,100,0.2,0.2,27,10,200,필댐(죤형),1484,106,5,3.2,3.2,0,사통형,57.7,56.7,54.2,062-380-8685
2917010027,전남,광주,대야,광주광역시 북구 생용동,1956-01-01,1958-01-01,2,보조수원,220,14.7,13.3,79.6,10,200,필댐(죤형),6660,333,8,286,285.61,0.39,사통형,38.71,37.65,33.15,062-380-8685
2917010028,전남,광주,생룡2,광주광역시 북구 생용동,1962-01-01,1963-01-01,2,보조수원,68,1.2,1.2,40,10,200,필댐(죤형),2479,148,8.6,12,11,1,사통형,55.9,55,48.2,062-380-8685
2917010029,전남,광주,금당,광주광역시 북구 월출동,1968-01-01,1969-01-01,2,보조수원,15,0.4,0.4,1.8,10,200,필댐(죤형),1200,60,3.2,6,6,0,사통형,38.5,37.69,36.7,062-380-8685
2920010001,전남,광주,명곡,광주광역시 광산구 명도동,1969-01-01,1969-12-31,2,보조수원,36,1.8,1.6,6.5,10,200,필댐(죤형),739.2,66,6,32,28.91,3.09,사통형,49.02,48.02,44.02,062-380-8685
2920010008,전남,광주,비아,광주광역시 광산구 비아동,1944-01-01,1944-12-31,2,보조수원,85,5.5,4.4,25,10,200,필댐(죤형),1986.9,222,3.3,75,62.66,12.34,사통형,32.3,31.8,30.5,062-380-8685
2920010009,전남,광주,도천2,광주광역시 광산구 도천동,1944-01-01,1944-12-31,2,보조수원,25,3.69,3.69,18,10,200,필댐(죤형),1350,135,3.5,54,48,6,사통형,27.76,26.63,25.5,062-380-8685
2920010013,전남,광주,수완1,광주광역시 광산구 수완동,1957-01-01,1957-12-31,2,보조수원,50,2,1.9,20,10,200,필댐(죤형),4270,107,4,24,8.27,15.73,사통형,25.23,24.43,24,062-380-8685
2920010016,전남,광주,진성,광주광역시 광산구 진곡동,1943-01-01,1943-12-31,2,보조수원,18,4.79,2.8,10,10,200,필댐(죤형),2002,154,6,52,46.42,5.58,사통형,36.15,36.15,34.36,062-380-8685
2920010028,전남,광주,고룡,광주광역시 광산구 고룡동,1943-01-01,1943-12-31,2,보조수원,130,2.9,2.9,20,10,200,필댐(죤형),1872,180,3.2,40.08,33.57,6.51,사통형,31.34,30.6,28.1,062-380-8685
2920010030,전남,광주,진곡,광주광역시 광산구 신룡동,1943-01-01,1943-12-31,2,보조수원,85,4.06,2,15,10,200,필댐(죤형),1662.25,109,7.5,61,60,1,사통형,44.5,43.47,41.85,062-380-8685
2920010038,전남,광주,가락,광주광역시 광산구 하산동,1944-01-01,1944-12-31,2,보조수원,44,3.07,3,20.2,10,200,필댐(죤형),1315.2,120,6,41,40,1,사통형,25.88,25.69,21.88,062-380-8685
2920010039,전남,광주,기룡,광주광역시 광산구 하산동,1945-01-01,1945-12-31,2,보조수원,43,2.4,2.29,15.3,10,200,필댐(죤형),1476,180,4.8,47,47,0,사통형,20.25,19.5,16.9,062-380-8685
2920010040,전남,광주,창교1,광주광역시 광산구 본덕동,1933-01-01,1933-12-31,2,보조수원,30,0.8,0.75,10,10,200,필댐(죤형),780.2,83,6,14.71,14.71,0,사통형,31.96,31.36,27.37,062-380-8685
2920010041,전남,광주,창교2,광주광역시 광산구 본덕동,1934-01-01,1934-12-31,2,보조수원,135,1.8,1.7,25.2,10,200,필댐(죤형),1754.8,214,4,17,16,1,사통형,16.52,15.52,14.5,062-380-8685
2920010042,전남,광주,요기,광주광역시 광산구 요기동,1935-01-01,1935-12-31,2,보조수원,50,2.27,2.27,19.4,10,200,필댐(죤형),1214.4,138,4.5,38,25,13,사통형,27.5,26.6,24.5,062-380-8685
2920010043,전남,광주,영천,광주광역시 광산구 지죽동,1943-01-01,1943-12-31,2,보조수원,20,2.5,2.5,4.1,10,200,필댐(죤형),3135,165,10,60,57,3,사통형,36.61,35.41,31.87,062-380-8685
2920010044,전남,광주,지로,광주광역시 광산구 지죽동,1943-01-01,1943-12-31,2,보조수원,18,0.51,0.51,4.5,10,200,필댐(죤형),540,54,4.5,3,3,0,사통형,24.49,23.49,22.49,062-380-8685
2920010045,전남,광주,용동,광주광역시 광산구 용동,1944-01-01,1944-12-31,2,보조수원,40,5.6,5.6,16.7,10,200,필댐(죤형),2766.8,287,4.7,81.17,81.17,0,사통형,32.74,31.74,29.74,062-380-8685
2920010046,전남,광주,용곡,광주광역시 광산구 용곡동,1941-01-01,1941-12-31,2,보조수원,20,1.9,1.8,3.7,10,200,필댐(죤형),1075,100,5.3,15,10,5,사통형,28.98,27.98,27.04,062-380-8685
2920010047,전남,광주,기곡,광주광역시 광산구 용곡동,1943-01-01,1943-12-31,2,보조수원,33,1.5,1.2,10.8,10,200,필댐(죤형),1420,142,5,31,28,3,사통형,35.78,34.78,31.78,062-380-8685
2920010048,전남,광주,평지,광주광역시 광산구 지정동,1943-01-01,1943-12-31,2,보조수원,20,2.1,1.2,8.7,10,200,필댐(죤형),1071.6,114,4.5,20,19,1,사통형,43.78,42.78,40.53,062-380-8685
2920010049,전남,광주,지정,광주광역시 광산구 명화동,1925-01-01,1926-01-01,1,보조수원,740,61,48.4,413,10,200,필댐(죤형),3654,203,7,1185,1150,35,취수탑형,27.79,26.81,23.95,062-380-8685
2920010050,전남,광주,동산1,광주광역시 광산구 동산동,1940-01-01,1940-12-31,2,보조수원,195,10.8,9.5,30.5,10,200,필댐(죤형),2579.2,208,7.5,135.3,135.3,0,사통형,35.89,34.82,31.82,062-380-8685
2920010051,전남,광주,동산2,광주광역시 광산구 동산동,1941-01-01,1941-12-31,2,보조수원,41,2.7,2.6,17.5,10,200,필댐(죤형),2579.2,110,5,60,58,2,사통형,32.85,31.85,29.85,062-380-8685
2920010052,전남,광주,금곡,광주광역시 광산구 연산동,1941-01-01,1941-12-31,2,보조수원,25,1.28,1.28,13.3,10,200,필댐(죤형),4400,110,5,20,18,2,사통형,36.3,35.3,33.3,062-380-8685
2920010053,전남,광주,연산,광주광역시 광산구 연산동,1942-01-01,1942-12-31,2,보조수원,31,1.5,1.5,15.3,10,200,필댐(죤형),1911,156,6,45,43,2,사통형,26.76,26.16,22.96,062-380-8685
2920010056,전남,광주,지동,광주광역시 광산구 도덕동,1943-01-01,1943-12-31,2,보조수원,131,6.5,5.2,15,10,200,필댐(죤형),2236,172,9,84.14,76.57,7.57,사통형,36.4,34.9,30.2,062-380-8685
2920010057,전남,광주,운평,광주광역시 광산구 지평동,1944-01-01,1944-12-31,2,보조수원,50,2.2,1.3,15,10,200,필댐(죤형),1200,120,5,23.38,23.38,0,사통형,31.8,30.8,26.47,062-380-8685
2920010062,전남,광주,복만,광주광역시 광산구 양동,1943-01-01,1943-12-31,2,보조수원,40,2.1,1.7,11.2,10,200,필댐(죤형),1209,93,7.5,26,25,1,사통형,45.38,44.38,42.25,062-380-8685
2920010066,전남,광주,대야(삼도),광주광역시 광산구 대산동,1943-01-01,1943-12-31,2,보조수원,63,2.2,1.9,15.8,10,200,필댐(죤형),1920,120,8.5,40,37,3,사통형,64.73,62.94,59.23,062-380-8685
2920010067,전남,광주,해현,광주광역시 광산구 송학동,1960-01-01,1960-12-31,2,보조수원,42.5,2.5,1.3,13,10,200,필댐(죤형),824.4,340,3,20,15,5,사통형,28.6,27.79,26.72,062-380-8685
2920010069,전남,광주,송학,광주광역시 광산구 송학동,1968-01-01,1968-12-31,2,보조수원,15,0.4,0.4,10,10,200,필댐(죤형),892.5,85,6.5,9,6.63,2.37,사통형,47.92,46.92,45.82,062-380-8685
2920010070,전남,광주,석문,광주광역시 광산구 삼도동,1943-01-01,1943-12-31,2,보조수원,87,1.75,1.75,12.3,10,200,필댐(죤형),1690.2,135,7.1,60,57,3,사통형,43.8,43,38.86,062-380-8685
2920010071,전남,광주,도야,광주광역시 광산구 삼도동,1943-01-01,1943-12-31,2,보조수원,38,2.1,1.9,7.5,10,200,필댐(죤형),824.4,90,4.3,30,27.01,2.99,사통형,37.66,36.66,34.66,062-380-8685
2920010072,전남,광주,선동,광주광역시 광산구 선동,1943-01-01,1943-12-31,2,주수원,38,1.7,1.5,33.9,10,200,필댐(죤형),2860,112,11.5,65,63,2,사통형,66.59,68.1,60.5,062-380-8685
2920010074,전남,광주,지산,광주광역시 광산구 지산동,1959-01-01,1961-01-01,2,주수원,80,2.4,2.4,10,10,200,필댐(죤형),3584,128,12.3,120,108,12,사통형,59.24,57.74,52.47,062-380-8685
2920010075,전남,광주,왕동,광주광역시 광산구 왕동,1927-01-01,1928-01-01,1,보조수원,418,39.3,37.3,260.7,10,200,필댐(죤형),168353,174.5,17.8,2281.5,2265.4,16.1,사통형,55.5,54.7,43.14,062-380-8685
2920010078,전남,광주,북성,광주광역시 광산구 북산동,1968-01-01,1968-12-31,2,보조수원,31,0.5,0.5,3.4,10,200,필댐(죤형),1040,80,7.5,20,18,2,사통형,35.27,34.27,31.27,062-380-8685
2920010081,전남,광주,동림,광주광역시 광산구 동림동,1969-01-01,1969-12-31,2,보조수원,20,0.72,0.72,8.8,10,200,필댐(죤형),741.76,61,6.8,23,22.11,0.89,사통형,81.56,78.99,74.35,062-380-8685
3017010002,충남,세종.대전.금산,장안,대전광역시 서구 장안동,1986-03-01,1993-01-01,1,주수원,700,13.12,13.12,88.7,10,200,필댐(죤형),88500,147,25.3,1015.8,998.3,17.5,사통형,127.03,125.5,109,044-860-3331
3017010004,충남,세종.대전.금산,봉곡,대전광역시 서구 봉곡동,2010-12-08,2014-01-20,1,보조수원,1439,10.82,10.31,0,10,200,필댐(죤형),274320,254,20,1023.34,1014.48,8.86,취수탑형,97.8,96.5,81.5,044-860-3331
3020010004,충남,세종.대전.금산,방동,대전광역시 서구 봉곡동,1967-11-20,1977-01-01,1,주수원,1375,52.58,50.4,226.2,10,100,필댐(죤형),5237,187,20,2846.3,2820.5,25.8,취수탑형,101.9,100.9,87.4,044-860-3331
3120010005,경남,울산,소미하,울산광역시 북구 창평동,1945-01-01,1946-12-31,2,보조수원,62,1.2,1,10,10,200,필댐(죤형),6000,50,8,5.48,5.48,0,사통형,20.3,19.49,16.81,052-290-5301
3120010006,경남,울산,차일,울산광역시 북구 창평동,1963-01-01,1964-12-31,2,보조수원,45,1.2,1,10,10,200,필댐(죤형),12000,180,5,6.11,6.11,0,사통형,86.62,85.62,82.24,052-290-5301
3120010027,경남,울산,달골,울산광역시 북구 무룡동,1929-01-01,1930-12-31,2,보조수원,19,1.2,1,6,10,200,필댐(죤형),5500,70,6,3.92,3.92,0,사통형,44.29,43.29,40.95,052-290-5301
3120010028,경남,울산,정자,울산광역시 북구 무룡동,1972-01-01,1976-01-01,1,주수원,429,8.52,7.1,97.8,10,200,필댐(죤형),140000,204,36.9,538.34,538.34,0,사통형,64.72,63.72,51.1,052-290-5301
3120010039,경남,울산,화동,울산광역시 북구 화봉동,1945-01-01,1946-12-31,2,보조수원,5,1.08,0.9,0,10,200,필댐(죤형),6500,85,10,11.97,11.97,0,사통형,66.29,65.29,61.22,052-290-5301
3120010042,경남,울산,송정,울산광역시 북구 송정동,1968-01-01,1974-01-01,1,주수원,506,15.24,12.7,261.5,10,200,필댐(죤형),400000,288,22,1161.94,1161.07,0.87,사통형,71,68.39,52,052-290-5301
3120010043,경남,울산,달영,울산광역시 북구 화봉동,2004-12-06,2012-11-20,2,보조수원,242,2.9,2.64,30,10,200,필댐(죤형),35514,91,13.5,173,140,33,사통형,94.3,93.3,84,052-290-5301
3171010001,경남,울산,황세지1,울산광역시 울주군 온산읍 삼평리,1945-01-01,1946-12-31,2,보조수원,80,2.4,2,41,10,200,필댐(죤형),45000,250,4,14.15,14.15,0,사통형,26.58,25.58,24.09,052-290-5301
3171010002,경남,울산,황세지2,울산광역시 울주군 온산읍 삼평리,1945-01-01,1946-12-31,2,보조수원,86,2.4,2,35,10,200,필댐(죤형),49000,300,7,18.08,18.08,0,사통형,25.45,24.45,22.4,052-290-5301
3171010003,경남,울산,못안지,울산광역시 울주군 온산읍 삼평리,1945-01-01,1946-12-31,2,보조수원,39,1.2,1,16,10,200,필댐(죤형),6300,85,4,10.36,10.36,0,사통형,14.79,13.79,12.68,052-290-5301
3171010004,경남,울산,우지곡,울산광역시 울주군 온산읍 강양리,1945-01-01,1946-12-31,2,보조수원,27,1.2,1,7,10,200,필댐(죤형),8200,40,8,3.83,3.83,0,사통형,24.64,23.64,21.65,052-290-5301
3171010005,경남,울산,성지곡,울산광역시 울주군 온산읍 강양리,1945-01-01,1946-12-31,2,보조수원,30,1.2,1,10,10,200,필댐(죤형),12500,65,8,8.41,8.41,0,사통형,12.3,11.25,8.96,052-290-5301
3171010014,경남,울산,오룡,울산광역시 울주군 언양읍 평리,1953-01-01,1956-01-01,2,주수원,182,7.32,6.1,89.2,10,200,필댐(죤형),41000,172,13.1,205.72,205.72,0,사통형,122.5,121.5,114,052-290-5301
3171010016,경남,울산,다개(보조),울산광역시 울주군 언양읍 다개리,1945-01-01,1946-12-31,2,보조수원,4.8,1.2,1,2.4,10,200,필댐(죤형),72000,300,7,26.92,26.92,0,사통형,169.21,168.21,165.17,052-290-5301
3171010017,경남,울산,새못,울산광역시 울주군 언양읍 다개리,1945-01-01,1946-12-31,2,보조수원,20,1.2,1,4,10,100,필댐(죤형),9800,200,7,28.85,28.85,0,사통형,188.4,187.43,184.42,052-290-5301
3171010018,경남,울산,뒷골(다개),울산광역시 울주군 언양읍 다개리,1945-01-01,1946-12-31,2,보조수원,20,1.2,1,4,10,100,필댐(죤형),8100,200,6,17.41,17.41,0,사통형,189.1,188.57,185,052-290-5301
3171010019,경남,울산,다개(주),울산광역시 울주군 언양읍 다개리,1976-01-01,1978-01-01,2,주수원,280,2.88,2.4,141.5,10,200,필댐(죤형),141000,150,29,260.07,260.04,0.03,사통형,239.98,238.98,219,052-290-5301
3171010026,경남,울산,상가,울산광역시 울주군 언양읍 직동리,1945-01-01,1946-12-31,2,보조수원,50,2.4,2,5.5,10,200,필댐(죤형),12100,121,10,7.57,7.57,0,사통형,117.9,116.87,114.92,052-290-5301
3171010027,경남,울산,하가,울산광역시 울주군 언양읍 직동리,1945-01-01,1946-12-31,2,보조수원,50,3.12,2.6,7.6,10,200,필댐(죤형),3400,126,5,13.65,13.65,0,사통형,110,109,106.1,052-290-5301
3171010033,경남,울산,들못,울산광역시 울주군 언양읍 태기리,1945-01-01,1946-12-31,2,보조수원,50,1.8,1.5,4,10,200,필댐(죤형),12200,85,12,44.35,44.35,0,사통형,100,98.95,95.21,052-290-5301
3171010038,경남,울산,화산,울산광역시 울주군 서생면 화산리,1990-01-01,1997-12-30,1,주수원,240,16.2,13.5,284.7,10,100,필댐(죤형),290000,167,36.5,1338.93,1338.93,0,사통형,90.2,89.95,63.5,052-290-5301
3171010044,경남,울산,윗곡1,울산광역시 울주군 서생면 위양리,1997-01-01,1998-12-31,2,보조수원,35,0.48,0.4,5,10,100,필댐(죤형),7800,59,12,8.01,8.01,0,사통형,79.31,78.31,74.48,052-290-5301
3171010045,경남,울산,윗곡,울산광역시 울주군 서생면 위양리,1963-01-01,1964-12-31,2,보조수원,35,0.48,0.4,6,10,100,필댐(죤형),3200,36,8.6,4.48,4.48,0,사통형,63.35,62.35,59.88,052-290-5301
3171010046,경남,울산,막곡,울산광역시 울주군 서생면 위양리,1964-01-01,1965-12-31,2,보조수원,12,0.48,0.4,7.1,10,100,필댐(죤형),2900,50,7,1.93,1.93,0,사통형,58.8,57.84,56.22,052-290-5301
